candidate_id,rank,score,reasoning
CAND_0004972,51,0.4521,"ML Engineer at Glance: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, retrieval_and_search, vector_db, ranking_systems. Technical fit: 0.30. Chain: vis=0.85 resp=0.74 int=0.76 acc=0.40. Capability gaps: Architect low-latency high-throughp; Fine-tune language models using LoR. High recruiter response (74%). based in Gurgaon, Haryana. Score: 0.4521.."
CAND_0049771,52,0.4502,"AI Research Engineer at Wysa: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.37. Chain: vis=0.57 resp=0.81 int=0.54 acc=0.60. Capability gaps: Design learning-to-rank and re-rank; Build hybrid search combining dense. High recruiter response (81%). based in Ahmedabad, Gujarat. Score: 0.4502.."
CAND_0078508,53,0.4494,"AI Research Engineer at Rephrase.ai: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.34. Chain: vis=0.80 resp=0.34 int=0.96 acc=0.67. Capability gaps: Technical leadership at early-stage; Architect low-latency high-throughp. Low response (34%) -- outreach risk. available in 30d. based in Chandigarh, Chandigarh. Score: 0.4494.."
CAND_0076251,54,0.4485,"Search Engineer at Haptik: ""Developed a semantic search feature for an internal knowledge base of ~500K documents"". Covers: vector_db, retrieval_and_search, embeddings, production_deployment. Gaps: evaluation, ranking_systems. Technical fit: 0.35. Chain: vis=0.71 resp=0.51 int=0.61 acc=0.58. Capability gaps: Build recommendation or personaliza; Architect low-latency high-throughp. Moderate response (51%). based in Bhubaneswar, Odisha. Score: 0.4485.."
CAND_0088049,55,0.4476,"Junior ML Engineer at Freshworks: ""Worked on time-series forecasting models for supply-chain demand prediction at a logistics company"". Covers: retrieval_and_search, ranking_systems, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.30. Chain: vis=0.81 resp=0.78 int=0.53 acc=0.81. Capability gaps: Architect low-latency high-throughp; Fine-tune language models using LoR. High recruiter response (78%). based in Mumbai, Maharashtra. Score: 0.4476.."
CAND_0043860,56,0.4462,"Junior ML Engineer at Aganitha: ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at "". Covers: retrieval_and_search, ranking_systems, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.36. Chain: vis=0.92 resp=0.81 int=0.94 acc=0.80. Capability gaps: Build hybrid search combining dense; Architect low-latency high-throughp. High recruiter response (81%). available in 30d. based in Bhubaneswar, Odisha. active 19d ago. Score: 0.4462.."
CAND_0016659,57,0.4423,"ML Engineer at Glance: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.35. Chain: vis=0.72 resp=0.89 int=0.90 acc=0.63. Capability gaps: Technical leadership at early-stage; Architect low-latency high-throughp. High recruiter response (89%). based in Coimbatore, Tamil Nadu. active 23d ago. Score: 0.4423.."
CAND_0093763,58,0.4396,"Senior Software Engineer (ML) at Swiggy: ""Worked on time-series forecasting models for supply-chain demand prediction at a logistics company"". Covers: embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, retrieval_and_search, vector_db, ranking_systems. Technical fit: 0.24. Chain: vis=0.89 resp=0.92 int=0.91 acc=0.57. Capability gaps: Deploy vector search and embedding ; Architect low-latency high-throughp. High recruiter response (92%). based in Noida, Uttar Pradesh. active 21d ago. Score: 0.4396.."
CAND_0047721,59,0.4363,"Senior Data Scientist at Microsoft: ""Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based rankin"". Covers: retrieval_and_search, embeddings, evaluation, production_deployment. Gaps: vector_db, ranking_systems. Technical fit: 0.35. Chain: vis=0.74 resp=0.49 int=0.74 acc=0.45. Capability gaps: Fine-tune language models using LoR; Architect low-latency high-throughp. Moderate response (49%). based in Coimbatore, Tamil Nadu. Score: 0.4363.."
CAND_0023458,60,0.4362,"AI Research Engineer at BYJU'S: ""Worked on customer-facing predictive modeling for an e-commerce platform — churn prediction, convers"". Covers: retrieval_and_search, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db, ranking_systems. Technical fit: 0.30. Chain: vis=0.91 resp=0.69 int=0.68 acc=0.39. Capability gaps: Deploy vector search and embedding ; Create offline and online evaluatio. Moderate response (69%). based in Chandigarh, Chandigarh. Score: 0.4362.."
CAND_0026532,61,0.4294,"Recommendation Systems Engineer at Zomato: ""Developed a semantic search feature for an internal knowledge base of ~500K documents"". Covers: vector_db, retrieval_and_search, embeddings, evaluation, production_deployment. Gaps: ranking_systems. Technical fit: 0.37. Chain: vis=0.71 resp=0.52 int=0.72 acc=0.64. Capability gaps: Design learning-to-rank and re-rank; Architect low-latency high-throughp. Moderate response (52%). based in Chennai, Tamil Nadu. Score: 0.4294.."
CAND_0048509,62,0.4288,"AI Research Engineer at Niramai: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: retrieval_and_search, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db, ranking_systems. Technical fit: 0.37. Chain: vis=0.85 resp=0.60 int=0.79 acc=0.35. Capability gaps: Architect low-latency high-throughp; Deploy vector search and embedding . Moderate response (60%). based in Noida, Uttar Pradesh. Score: 0.4288.."
CAND_0095528,63,0.4279,"Senior Data Scientist at Netflix: ""Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based rankin"". Covers: retrieval_and_search, embeddings, evaluation, production_deployment. Gaps: vector_db, ranking_systems. Technical fit: 0.34. Chain: vis=0.68 resp=0.55 int=0.83 acc=0.49. Capability gaps: Fine-tune language models using LoR; Build hybrid search combining dense. Moderate response (55%). based in Indore, Madhya Pradesh. Score: 0.4279.."
CAND_0098952,64,0.4278,"AI Research Engineer at CRED: ""Worked on time-series forecasting models for supply-chain demand prediction at a logistics company"". Covers: retrieval_and_search, ranking_systems, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.28. Chain: vis=0.92 resp=0.66 int=0.90 acc=0.73. Capability gaps: Fine-tune language models using LoR; Build hybrid search combining dense. Moderate response (66%). based in Gurgaon, Haryana. Score: 0.4278.."
CAND_0098217,65,0.4228,"ML Engineer at Glance: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: embeddings, llm_and_finetuning. Gaps: evaluation, retrieval_and_search, vector_db, ranking_systems. Technical fit: 0.23. Chain: vis=0.79 resp=0.84 int=0.75 acc=0.76. Capability gaps: Build hybrid search combining dense; Create offline and online evaluatio. High recruiter response (84%). based in Noida, Uttar Pradesh. Score: 0.4228.."
CAND_0065430,66,0.4223,"ML Engineer at Mad Street Den: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, retrieval_and_search, vector_db, ranking_systems. Technical fit: 0.30. Chain: vis=0.88 resp=0.71 int=0.62 acc=0.64. Capability gaps: Architect low-latency high-throughp; Fine-tune language models using LoR. High recruiter response (71%). based in Mumbai, Maharashtra. Score: 0.4223.."
CAND_0060054,67,0.4219,"AI Engineer at Mad Street Den: ""Developed a semantic search feature for an internal knowledge base of ~500K documents"". Covers: vector_db, retrieval_and_search, ranking_systems, embeddings, evaluation. Technical fit: 0.54. Chain: vis=0.68 resp=0.86 int=0.78 acc=0.01. Capability gaps: Fine-tune language models using LoR; Design learning-to-rank and re-rank. High recruiter response (86%). available in 15d. based in Jaipur, Rajasthan. Score: 0.4219.."
CAND_0070514,68,0.4219,"AI Specialist at Glance: ""Worked on time-series forecasting models for supply-chain demand prediction at a logistics company"". Covers: embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, retrieval_and_search, vector_db, ranking_systems. Technical fit: 0.23. Chain: vis=0.92 resp=0.80 int=0.99 acc=0.81. Capability gaps: Architect low-latency high-throughp; Deploy vector search and embedding . High recruiter response (80%). based in Bangalore, Karnataka. active 25d ago. Score: 0.4219.."
CAND_0073982,69,0.4215,"Data Scientist at Dream11: ""Worked on customer-facing predictive modeling for an e-commerce platform — churn prediction, convers"". Covers: retrieval_and_search, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db, ranking_systems. Technical fit: 0.24. Chain: vis=0.77 resp=0.65 int=0.53 acc=0.70. Capability gaps: Fine-tune language models using LoR; Deploy vector search and embedding . Moderate response (65%). based in Delhi, Delhi. active 29d ago. Score: 0.4215.."
CAND_0026942,70,0.4165,"Junior ML Engineer at Verloop.io: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, retrieval_and_search, vector_db, ranking_systems. Technical fit: 0.33. Chain: vis=0.71 resp=0.84 int=0.60 acc=0.80. Capability gaps: Architect low-latency high-throughp; Deploy vector search and embedding . High recruiter response (84%). available in 30d. based in Chandigarh, Chandigarh. active 19d ago. Score: 0.4165.."
CAND_0073007,71,0.4159,"AI Specialist at Aganitha: ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at "". Covers: retrieval_and_search, ranking_systems, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.30. Chain: vis=0.82 resp=0.83 int=0.75 acc=0.60. Capability gaps: Build hybrid search combining dense; Architect low-latency high-throughp. High recruiter response (83%). based in Bangalore, Karnataka. Score: 0.4159.."
CAND_0054703,72,0.4158,"Computer Vision Engineer at Razorpay: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.23. Chain: vis=0.89 resp=0.41 int=0.89 acc=0.84. Capability gaps: Technical leadership at early-stage; Build hybrid search combining dense. Moderate response (41%). based in Vizag, Andhra Pradesh. Score: 0.4158.."
CAND_0018925,73,0.4152,"AI Research Engineer at Rephrase.ai: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.34. Chain: vis=0.89 resp=0.45 int=0.78 acc=0.45. Capability gaps: Design learning-to-rank and re-rank; Build hybrid search combining dense. Moderate response (45%). based in Chandigarh, Chandigarh. Score: 0.4152.."
CAND_0038328,74,0.4119,"Junior ML Engineer at PhonePe: ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at "". Covers: retrieval_and_search, ranking_systems, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.37. Chain: vis=0.63 resp=0.75 int=0.51 acc=0.79. Capability gaps: Build hybrid search combining dense; Architect low-latency high-throughp. High recruiter response (75%). based in Mumbai, Maharashtra. Score: 0.4119.."
CAND_0017178,75,0.4105,"ML Engineer at Swiggy: ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at "". Covers: retrieval_and_search, ranking_systems, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.33. Chain: vis=0.85 resp=0.85 int=0.97 acc=0.57. Capability gaps: Build hybrid search combining dense; Architect low-latency high-throughp. High recruiter response (85%). available in 30d. based in Hyderabad, Telangana. active 19d ago. Score: 0.4105.."
CAND_0022023,76,0.4099,"AI Research Engineer at Saarthi.ai: ""Worked on time-series forecasting models for supply-chain demand prediction at a logistics company"". Covers: retrieval_and_search, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db, ranking_systems. Technical fit: 0.31. Chain: vis=0.88 resp=0.47 int=0.84 acc=0.56. Capability gaps: Deploy vector search and embedding ; Build recommendation or personaliza. Moderate response (47%). based in Pune, Maharashtra. active 26d ago. Score: 0.4099.."
CAND_0002037,77,0.4087,"ML Engineer at Locobuzz: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.35. Chain: vis=0.85 resp=0.37 int=0.62 acc=0.63. Capability gaps: Technical leadership at early-stage; Architect low-latency high-throughp. Low response (37%) -- outreach risk. based in Indore, Madhya Pradesh. Score: 0.4087.."
CAND_0058412,78,0.4081,"Senior Software Engineer (ML) at InMobi: ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at "". Covers: retrieval_and_search, ranking_systems, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.30. Chain: vis=0.90 resp=0.43 int=0.91 acc=0.87. Capability gaps: Build hybrid search combining dense; Technical leadership at early-stage. Moderate response (43%). based in Indore, Madhya Pradesh. Score: 0.4081.."
CAND_0091899,79,0.3993,"Senior Software Engineer (ML) at PhonePe: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: embeddings, llm_and_finetuning. Gaps: evaluation, retrieval_and_search, vector_db, ranking_systems. Technical fit: 0.25. Chain: vis=0.81 resp=0.51 int=0.79 acc=0.88. Capability gaps: Deploy vector search and embedding ; Create offline and online evaluatio. Moderate response (51%). based in Delhi, Delhi. Score: 0.3993.."
CAND_0007596,80,0.3990,"Junior ML Engineer at Flipkart: ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at "". Covers: retrieval_and_search, ranking_systems, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.32. Chain: vis=0.88 resp=0.86 int=0.97 acc=0.70. Capability gaps: Fine-tune language models using LoR; Build hybrid search combining dense. High recruiter response (86%). based in Delhi, Delhi. active 23d ago. Score: 0.3990.."
CAND_0025923,81,0.3980,"Senior Software Engineer (ML) at HCL: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, retrieval_and_search, vector_db, ranking_systems. Technical fit: 0.23. Chain: vis=0.81 resp=0.84 int=0.55 acc=0.72. Capability gaps: Architect low-latency high-throughp; Fine-tune language models using LoR. High recruiter response (84%). available in 30d. based in Kolkata, West Bengal. Score: 0.3980.."
CAND_0010603,82,0.3974,"ML Engineer at BYJU'S: ""My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing t"". Covers: retrieval_and_search, ranking_systems, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.25. Chain: vis=0.97 resp=0.94 int=0.64 acc=0.60. Capability gaps: Deploy vector search and embedding ; Design learning-to-rank and re-rank. High recruiter response (94%). based in Bangalore, Karnataka. active 22d ago. Score: 0.3974.."
CAND_0065514,83,0.3958,"ML Engineer at Genpact AI: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, retrieval_and_search, vector_db, ranking_systems. Technical fit: 0.28. Chain: vis=0.86 resp=0.39 int=0.53 acc=0.83. Capability gaps: Deploy vector search and embedding ; Build hybrid search combining dense. Low response (39%) -- outreach risk. based in Pune, Maharashtra. Score: 0.3958.."
CAND_0085851,84,0.3951,"ML Engineer at Genpact AI: ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at "". Covers: retrieval_and_search, ranking_systems, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.30. Chain: vis=0.74 resp=0.37 int=0.83 acc=0.76. Capability gaps: Create offline and online evaluatio; Fine-tune language models using LoR. Low response (37%) -- outreach risk. based in Hyderabad, Telangana. Score: 0.3951.."
CAND_0091254,85,0.3947,"AI Research Engineer at Zoho: ""My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing t"". Covers: retrieval_and_search, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db, ranking_systems. Technical fit: 0.27. Chain: vis=0.88 resp=0.53 int=0.71 acc=0.80. Capability gaps: Deploy vector search and embedding ; Build recommendation or personaliza. Moderate response (53%). based in Chandigarh, Chandigarh. Score: 0.3947.."
CAND_0043676,86,0.3930,"Senior Software Engineer (ML) at Observe.AI: ""Worked on time-series forecasting models for supply-chain demand prediction at a logistics company"". Covers: embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, retrieval_and_search, vector_db, ranking_systems. Technical fit: 0.24. Chain: vis=0.72 resp=0.65 int=0.94 acc=0.84. Capability gaps: Fine-tune language models using LoR; Deploy vector search and embedding . Moderate response (65%). available in 30d. based in Delhi, Delhi. Score: 0.3930.."
CAND_0020845,87,0.3923,"AI Research Engineer at Swiggy: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: retrieval_and_search, embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db, ranking_systems. Technical fit: 0.32. Chain: vis=0.70 resp=0.35 int=0.95 acc=0.40. Capability gaps: Build recommendation or personaliza; Deploy vector search and embedding . Low response (35%) -- outreach risk. based in Vizag, Andhra Pradesh. active 24d ago. Score: 0.3923.."
CAND_0052706,88,0.3919,"AI Research Engineer at Swiggy: ""My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing t"". Covers: retrieval_and_search, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db, ranking_systems. Technical fit: 0.27. Chain: vis=0.78 resp=0.79 int=0.79 acc=0.49. Capability gaps: Deploy vector search and embedding ; Build recommendation or personaliza. High recruiter response (79%). based in Coimbatore, Tamil Nadu. Score: 0.3919.."
CAND_0029135,89,0.3916,"AI Specialist at Meesho: ""Built computer vision models for our product's image moderation feature using PyTorch — fine-tuned R"". Covers: retrieval_and_search, ranking_systems, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.30. Chain: vis=0.71 resp=0.69 int=0.96 acc=0.38. Capability gaps: Build hybrid search combining dense; Fine-tune language models using LoR. Moderate response (69%). based in Ahmedabad, Gujarat. Score: 0.3916.."
CAND_0068964,90,0.3893,"ML Engineer at Mad Street Den: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, retrieval_and_search, vector_db, ranking_systems. Technical fit: 0.29. Chain: vis=0.77 resp=0.70 int=0.80 acc=0.58. Capability gaps: Architect low-latency high-throughp; Deploy vector search and embedding . High recruiter response (70%). available in 30d. based in Kochi, Kerala. Score: 0.3893.."
CAND_0027663,91,0.3892,"AI Specialist at Observe.AI: ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at "". Covers: retrieval_and_search, ranking_systems, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.29. Chain: vis=0.76 resp=0.44 int=0.89 acc=0.55. Strong: Build recommendation or personaliza. Capability gaps: Fine-tune language models using LoR; Architect low-latency high-throughp. Moderate response (44%). based in Bangalore, Karnataka. Score: 0.3892.."
CAND_0080315,92,0.3882,"AI Research Engineer at Sarvam AI: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: retrieval_and_search, embeddings, llm_and_finetuning. Gaps: evaluation, vector_db, ranking_systems. Technical fit: 0.31. Chain: vis=0.82 resp=0.29 int=0.87 acc=0.81. Capability gaps: Deploy vector search and embedding ; Create offline and online evaluatio. Low response (28%) -- outreach risk. available in 30d. based in Ahmedabad, Gujarat. Score: 0.3882.."
CAND_0047327,93,0.3826,"Junior ML Engineer at Vedantu: ""Built computer vision models for our product's image moderation feature using PyTorch — fine-tuned R"". Covers: retrieval_and_search, ranking_systems, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.28. Chain: vis=0.81 resp=0.60 int=0.54 acc=0.79. Capability gaps: Technical leadership at early-stage; Fine-tune language models using LoR. Moderate response (60%). based in Gurgaon, Haryana. Score: 0.3826.."
CAND_0001707,94,0.3810,"Data Scientist at Vedantu: ""Built NLP pipelines for sentiment analysis and document classification — primarily for an internal f"". Covers: embeddings, llm_and_finetuning. Gaps: evaluation, retrieval_and_search, vector_db, ranking_systems. Technical fit: 0.20. Chain: vis=0.97 resp=0.48 int=0.99 acc=0.87. Capability gaps: Deploy vector search and embedding ; Create offline and online evaluatio. Moderate response (48%). based in Pune, Maharashtra. Score: 0.3810.."
CAND_0039754,95,0.3808,"Senior Applied Scientist at Meta: ""Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcin"". Covers: vector_db, retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning. Technical fit: 0.71. Chain: vis=0.93 resp=0.81 int=0.98 acc=0.55. Capability gaps: Architect low-latency high-throughp; Technical leadership at early-stage. High recruiter response (81%). available in 30d. based in Indore, Madhya Pradesh. Score: 0.3808.."
CAND_0064326,96,0.3784,"Search Engineer at Sarvam AI: ""Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring func"". Covers: vector_db, retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning. Technical fit: 0.41. Chain: vis=0.82 resp=0.94 int=0.90 acc=0.01. Capability gaps: Fine-tune language models using LoR; Architect low-latency high-throughp. High recruiter response (94%). based in Gurgaon, Haryana. active 24d ago. Score: 0.3784.."
CAND_0087316,97,0.3783,"AI Research Engineer at Razorpay: ""Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at "". Covers: retrieval_and_search, ranking_systems, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.30. Chain: vis=0.61 resp=0.80 int=0.66 acc=0.76. Capability gaps: Fine-tune language models using LoR; Build hybrid search combining dense. High recruiter response (80%). based in Gurgaon, Haryana. Score: 0.3783.."
CAND_0010541,98,0.3776,"AI Research Engineer at Wysa: ""My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing t"". Covers: retrieval_and_search, ranking_systems, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.26. Chain: vis=0.76 resp=0.59 int=0.87 acc=0.83. Capability gaps: Deploy vector search and embedding ; Design learning-to-rank and re-rank. Moderate response (59%). based in Hyderabad, Telangana. Score: 0.3776.."
CAND_0080344,99,0.3759,"Senior Software Engineer (ML) at Zoho: ""Built computer vision models for our product's image moderation feature using PyTorch — fine-tuned R"". Covers: retrieval_and_search, ranking_systems, llm_and_finetuning, production_deployment. Gaps: evaluation, vector_db. Technical fit: 0.30. Chain: vis=0.89 resp=0.70 int=0.74 acc=0.82. Capability gaps: Technical leadership at early-stage; Fine-tune language models using LoR. High recruiter response (70%). based in Hyderabad, Telangana. active 26d ago. Score: 0.3759.."
CAND_0042359,100,0.3757,"Data Scientist at Aganitha: ""Worked on customer-facing predictive modeling for an e-commerce platform — churn prediction, convers"". Covers: embeddings, llm_and_finetuning, production_deployment. Gaps: evaluation, retrieval_and_search, vector_db, ranking_systems. Technical fit: 0.22. Chain: vis=0.82 resp=0.76 int=0.92 acc=0.72. Capability gaps: Deploy vector search and embedding ; Create offline and online evaluatio. High recruiter response (76%). based in Trivandrum, Kerala. Score: 0.3757.."
